"TID","TR"
"TID_SHOP_GEM_PACKS","ELMAS PAKETLERİ"
"TID_SHOP_PURCHASED","Satın alındı"
"TID_SHOP_OBTAINED","Alındı"
"TID_SHOP_INVALIDATED","Süresi dolmuş"
"TID_SHOP_NEED_HERO","Savaşçı gerekiyor"
"TID_SHOP_EXCLUSIVE","Özel"
"TID_SHOP_ACTIVE","Etkin"
"TID_SHOP_CHALLENGE","Mücadele"
"TID_SHOP_CHALLENGE_SOON","Başlamasına:"
"TID_SHOP_DOUBLE_COINS_TITLE","DP KATLAYICILAR"
"TID_SHOP_DOUBLE_COINS_INFO","DP Katlayıcılar"
"TID_SHOP_DOUBLE_COINS_INFO_2","Görevlerden kazanılan DP'yi ikiye katlar."
"TID_SHOP_DOUBLE_COINS_INFO_COMBINED","Görevlerden alacağın sonraki <AMOUNT> DP'yi ikiye katlar."
"TID_SHOP_DOUBLE_COINS_COINS_REMAINING","Sende olan:"
"TID_SHOP_DOUBLE_COINS_PURCHASE_ERROR_2","Elmas yetersiz"
"TID_SHOP_OFFER_PURCHASE_ERROR_3","Bu teklifi zaten satın aldın."
"TID_SHOP_OFFER_PURCHASE_ERROR_16","Bu öğe zaten alındı."
"TID_SHOP_OFFER_PURCHASE_ERROR_4","Bu teklifi satın alamazsın. Bu teklifteki bir veya daha fazla öğeye zaten sahipsin."
"TID_SHOP_OFFER_TITLE","Sınırlı Süreli Teklif"
"TID_SHOP_GEM_PACK_1_TITLE","Bir Avuç Elmas"
"TID_SHOP_GEM_PACK_2_TITLE","Taş Kesesi"
"TID_SHOP_GEM_PACK_3_TITLE","Taş Çantası"
"TID_SHOP_GEM_PACK_4_TITLE","Elmas Kovası"
"TID_SHOP_GEM_PACK_5_TITLE","Taş Sandığı"
"TID_SHOP_GEM_PACK_6_TITLE","Taş Yığını"
"TID_SHOP_HEROES_OF_RARITY","GARANTİLİ SAVAŞÇILAR"
"TID_SHOP_HERO_OF_RARITY_TITLE","<c<COLOR>><NAME></c> SAVAŞÇI"
"TID_SHOP_HERO_OF_RARITY_BOX","Savaşçı Kutusu"
"TID_SHOP_HERO_POWER_TITLE","<cffffff>+<AMOUNT></c> GÜÇ"
"TID_SHOP_GATCHA_BOXES","KUTULAR"
"TID_SHOP_GATCHA_BOX_1","BÜYÜK KUTU"
"TID_SHOP_GATCHA_BOX_2","SAVAŞ KUTUSU"
"TID_SHOP_GATCHA_BOX_3","MEGA KUTU"
"TID_SHOP_GATCHA_BOX_PURCHASE_ERROR_3","Bugün başka kutu satın alamazsın."
"TID_SHOP_TICKETS","ETKİNLİK BİLETLERİ"
"TID_SHOP_TICKET_PACK_0","Bilet Paketi"
"TID_SHOP_TICKET_PACK_1","Bilet Yığını"
"TID_SHOP_TICKET_PACK_2","Bilet Tomarı"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACKS","ALTIN PAKETLERİ"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_0","Bir Avuç Altın"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_1","Altın Kesesi"
"TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_2","Altın Çantası"
"TID_HERO_LVL_MATERIAL_RECEIVED","<AMOUNT> altın alındı"
"TID_SHOP_DAILY_OFFERS","GÜNLÜK HEDİYE"
"TID_SHOP_SKINS","KOSTÜMLER"
"TID_SHOP_BRAWLIDAYS_SKINS","YILBAŞI TATİLİ KOSTÜMLERİ"
"TID_SHOP_LUNAR_BRAWL_SKINS","YENİ AY YILI KOSTÜMLERİ"
"TID_SHOP_BRAWLOWEEN_SKINS","CADILAR BAYRAMI KOSTÜMLERİ"
"TID_SHOP_ARCHIVE_SKINS","ARŞİVDEN KOSTÜMLER"
"TID_SHOP_ARCHIVE_SKINS_RARE","ENDER ŞANS!"
"TID_SHOP_ARCHIVE_SKINS_LAST","SON ŞANS!"
"TID_SHOP_LEGENDARY_SKINS","YILDIZ DÜKKANI"
"TID_SHOP_STAR_BOXES","YILDIZ KUTULARI"
"TID_SHOP_FREE","ÜCRETSİZ"
"TID_SHOP_CLAIM","AL"
"TID_SHOP_CHAIN_OFFER","ZİNCİR TEKLİF"
"TID_SHOP_NEW_DAILY_OFFERS_AVAILABLE_IN","<TIME>"
"TID_SHOP_TICKETS_AVAILABLE_FOR","<TIME>"
"TID_SHOP_DISCOUNT","-%<AMOUNT>"
"TID_SHOP_OFFER_TITLE_0","ÜCRETSİZ KUTU"
"TID_SHOP_OFFER_TITLE_1","ALTIN"
"TID_SHOP_OFFER_TITLE_6","SAVAŞ KUTUSU"
"TID_SHOP_OFFER_TITLE_7","BİLETLER"
"TID_SHOP_OFFER_TITLE_8","GÜÇ PUANI"
"TID_SHOP_OFFER_TITLE_9","DP KATLAYICI"
"TID_SHOP_OFFER_TITLE_10","MEGA KUTU"
"TID_SHOP_OFFER_TITLE_12","GÜÇ PUANI"
"TID_SHOP_OFFER_TITLE_14","BÜYÜK KUTU"
"TID_SHOP_OFFER_TITLE_15","SAVAŞ KUTUSU"
"TID_SHOP_OFFER_TITLE_16","ELMASLAR"
"TID_SHOP_OFFER_TITLE_17","YILDIZ PUANLARI"
"TID_SHOP_OFFER_TITLE_19","YENİ ROZET"
"TID_SHOP_OFFER_TITLE_20","ROZET SETİ"
"TID_SHOP_OFFER_TITLE_21","ROZET PAKETİ"
"TID_SHOP_OFFER_TITLE_22","ROZET PAKETİ"
"TID_SHOP_OFFER_TITLE_23","<RARITY> ROZET"
"TID_SHOP_OFFER_TITLE_25","OYUNCU SİMGESİ"
"TID_SHOP_OFFER_TITLE_27","<RARITY> ROZET PAKETİ"
"TID_SHOP_OFFER_TITLE_35","YENİ SPREY"
"TID_SHOP_OFFER_TITLE_36","SPREYLER"
"TID_SHOP_OFFER_INFO_36","Spreylerle savaşta kendini ifade et!"
"TID_SHOP_OFFER_TITLE_37","EKSTRA SPREY BÖLMESİ"
"TID_SHOP_OFFER_TITLE_38","KREDİ"
"TID_SHOP_OFFER_TITLE_39","KROMA KREDİLERİ"
"TID_SHOP_OFFER_TITLE_49","STARR HEDİYESİ"
"TID_SHOP_OFFER_EMOTE_OF_RARITY_TITLE","<c<COLOR>><RARITY> ROZET</c>"
"TID_EMOTE_RARITY_0","SIRADAN"
"TID_EMOTE_RARITY_1","ENDER"
"TID_EMOTE_RARITY_2","DESTANSI"
"TID_EMOTE_RARITY_3","EFSANEVİ"
"TID_SHOP_OFFER_DESC_GOLD","Altın, savaşçılarını yükseltmek için kullanılır."
"TID_SHOP_OFFER_ANY_BRAWLER","İSTEDİĞİN\nSAVAŞÇIYA VER"
"TID_SHOP_OFFER_ANY_BRAWLER_DESC","İstediğin savaşçıya ver!"
"TID_PURCHASE_OFFER_POPUP_TITLE","SATIN ALMA ONAYI"
"TID_PURCHASE_OFFER_POPUP_TITLE_FREE","Ücretsiz Ödül"
"TID_SHOP_OFFER_NEW_HERO_LABEL","SAVAŞÇI"
"TID_SHOP_OFFER_NEW_SKIN_LABEL","KOSTÜM"
"TID_SHOP_OFFER_CLUB_SKIN_LABEL","KULÜP KOSTÜMÜ"
"TID_SHOP_OFFER_HERO_POWER_TITLE","GÜÇ PUANI"
"TID_SHOP_TICKET_PURCHASE_ERROR_4","Satın alamazsın. Bir etkinlikte her paket yalnızca bir kez alınabilir."
"TID_SHOP_OFFER_NEW","YENİ"
"TID_GATCHA_BOX_TITLE_2","SAVAŞ KUTUSU"
"TID_GATCHA_BOX_TITLE_3","MEGA KUTU"
"TID_SHOP_HERO_PURCHASE_CONFIRM_LABEL","YENİ SAVAŞÇI"
"TID_GATCHA_BOX_INFO_2","İçinden yeni bir savaşçı, aksesuar, yıldız gücü veya altın + iki savaşçı için güç puanı çıkabilir. Bazı kutulardan bonus jeton katlayıcı çıkar!"
"TID_GATCHA_BOX_INFO_3","Bir Savaş Kutusunun\n\n<AMOUNT> katı."
"TID_SHOP_OFFER_INFO_0","Ücretsizdir. Keyfini çıkar!"
"TID_SHOP_OFFER_INFO_1","<AMOUNT> altın içerir. Altın toplayarak savaşçıları yükseltebilir, buffie çekebilir ve SAF altın ve gümüş kostümler alabilirsin."
"TID_SHOP_OFFER_INFO_2","Rastgele bir <RARITY> savaşçı aç!"
"TID_SHOP_OFFER_INFO_3","Yeni bir savaşçı aç!"
"TID_SHOP_OFFER_INFO_6","Savaş kutularından savaşçı, güç puanı, altın ve daha fazlası çıkabilir."
"TID_SHOP_OFFER_INFO_7","<AMOUNT> etkinlik bileti içerir. Bunlarla biletli etkinliklere katılabilirsin."
"TID_SHOP_OFFER_INFO_8","<AMOUNT> güç puanı içerir. Güç puanı toplayarak savaşçıları yükseltebilir ve buffie çekebilirsin."
"TID_SHOP_OFFER_INFO_9","Görevlerden alacağın sonraki <AMOUNT> DP'yi ikiye katlar!"
"TID_SHOP_OFFER_INFO_10","Mega kutularda normal savaş kutularına göre on kat fazla ödül vardır!"
"TID_SHOP_OFFER_INFO_12","Güç puanlarını hangi savaşçının alacağını sen seçersin."
"TID_SHOP_OFFER_INFO_13","Yeni etkinlik slotu aç"
"TID_SHOP_OFFER_INFO_14","Büyük kutularda normal savaş kutularına göre üç kat fazla ödül vardır!"
"TID_SHOP_OFFER_INFO_16","<AMOUNT> elmas içerir. Elmas, Brawl Stars'daki en değerli kaynaktır. Elmas toplayarak dükkandan savaşçı, kostüm ve daha başka öğeler alabilirsin."
"TID_SHOP_OFFER_INFO_18","Sezon görevlerini açarak Brawl Pass için daha fazla DP kazan."
"TID_SHOP_OFFER_INFO_19","<BRAWLER> için yeni bir rozet!"
"TID_SHOP_OFFER_INFO_20","<AMOUNT> rozetli bir set. Rozetleri kullanarak diğer oyuncularla iletişim kurabilirsin."
"TID_SHOP_OFFER_INFO_21","Bu pakette, açtığın herhangi bir savaşçı için 2 sıradan rozet ve 1 ender ya da destansı rozet bulunur. Çıkma ihtimalleri şöyledir:\nEnder rozet: %<Rare>\nDestansı rozet: %<Epic>"
"TID_SHOP_OFFER_INFO_22","Bu pakette, <BRAWLER> için 2 sıradan rozet ve 1 ender ya da destansı rozet bulunur. Çıkma ihtimalleri şöyledir:\n\nEnder rozet: %<Rare>\nDestansı rozet: %<Epic>"
"TID_SHOP_OFFER_INFO_23","1 yeni <RARITY> rozet içerir. Rozetleri kullanarak diğer oyuncularla iletişim kurabilirsin!"
"TID_SHOP_OFFER_INFO_27","3 yeni <RARITY> rozet içerir. Rozetleri kullanarak diğer oyuncularla iletişim kurabilirsin!"
"TID_SHOP_OFFER_INFO_30","<LVL>. seviyeye yükseltilmiş yeni bir savaşçı aç!"
"TID_SHOP_OFFER_INFO_31","<LVL>. seviyeye yükseltilmiş rastgele bir <RARITY> savaşçı aç!"
"TID_SHOP_OFFER_INFO_35","Spreyler savaş alanını süslemek için kullanılır."
"TID_SHOP_OFFER_INFO_37","Spreyler için ekstra bölme"
"TID_SHOP_OFFER_INFO_38","Yeni savaşçılar açmak için kredi kazan!"
"TID_SHOP_OFFER_INFO_39","Kroma kredilerini kullanarak kromatik savaşçı alabilirsin!"
"TID_SHOP_OFFER_INFO_49","<RARITY> Starr hediyesi aç"
"TID_SHOP_OFFER_HOR_NEW","YENİ"
"TID_SHOP_OFFER_HOR_RARITY","<c<COLOR>><NAME></c>"
"TID_SHOP_OFFER_HOR_BRAWLER","SAVAŞÇI"
"TID_SHOP_OFFER_HOR_POPUP_RARITY","YENİ <c<COLOR>><NAME></c>"
"TID_SHOP_OFFER_HOR_POPUP_BRAWLER","SAVAŞÇI"
"TID_SHOP_SKIN_OFFER","KOSTÜM TEKLİFİ"
"TID_SHOP_OFFER_EXPIRED","Teklifin süresi doldu."
"TID_SKINS_AD_TITLE","YENİ KOSTÜMLER GELDİ"
"TID_SKINS_AD_OK","Tamam"
"TID_SKINS_AD_INFO","Savaşçılar ekranından yeni kostümlere bakabilirsin!"
"TID_TERMS_OF_SERVICE_BUTTON","Hizmet Koşulları"
"TID_IMMUNE","Etkisiz"
"TID_BATTLE_END_PROCEED","DEVAM"
"TID_HINT_TAP_TO_MOVE_1","Haritanın ortasından <ce662f9>elmasları</c> topla"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL_1","Süper atışını düşmana doğru hedefle!"
"TID_HINT_SHOOT_1","<ce662f9>Elmaslar</c> ortadaki delikten çıkar!"
"TID_HINT_DRAG_TO_ULTI_1","Şimdi kırmızı düğmeyi kullanarak süper atışını yap!"
"TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE","Yeni Game Center girişi"
"TID_BIND_TO_NEW_GAMECENTER_ACCOUNT","Şu anki oyununu bu Game Center hesabı ile ilişkilendirmek istiyor musun?"
"TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE","Google Hesabı Uyarısı"
"TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT","<NAME> oyuncusunun (<TROPHIES> kupalı) oyununu yüklemek istiyor musun? Uyarı: Mevcut oyundaki ilerleme kaybedilir."
"TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE","Oyun yüklensin mi?"
"TID_BUTTON_VILLAGE_LOAD","Yükle"
"TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE","Game Center Uyarısı"
"TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT","<NAME> oyuncusunun (<TROPHIES> kupalı) oyununu yüklemek istiyor musun? Uyarı: Mevcut oyundaki ilerleme kaybedilir."
"TID_BUTTON_AVATAR_LOAD","Yükle"
"TID_SETTINGS_SCREEN_TITLE","Ayarlar"
"TID_SETTINGS_MUSIC","MÜZİK"
"TID_SETTINGS_SFX","SES EFEKTLERİ"
"TID_SETTINGS_OFF","KAPALI"
"TID_SETTINGS_ON","AÇIK"
"TID_SETTINGS_LANGUAGE","DİL"
"TID_ACCOUNT","Cihazlar"
"TID_LINK_DEVICE_BUTTON","Bir cihazı bağla"
"TID_SETTINGS_FACEBOOK","ARKADAŞLAR"
"TID_CHANGE_NAME_BUTTON","Adını Değiştir"
"TID_CREDITS_BUTTON","Hazırlayanlar"
"TID_PRIVACY_POLICY_BUTTON","Gizlilik Politikası"
"TID_PARENTS_GUIDE_BUTTON","Ebeveyn Kılavuzu"
"TID_MULTIDEVICE_INFO","İlerlemeni kaybetmemek ve birden çok iOS cihazı ile oynamak için Game Center hesabını kullanarak giriş yap."
"TID_SETTINGS_GOOGLE","Google Play ile Giriş"
"TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED","Bağlandı"
"TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED","Bağlan"
"TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED_UP","BAĞLANDI"
"TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED_UP","BAĞLAN"
"TID_FAQ_BUTTON","Yardım ve Destek"
"TID_ABOUT_TERMS","Bu yazılımın her türlü kullanımı www.supercell.com adresindeki Hizmet Koşulları ve Gizlilik Politikası'na tabidir."
"TID_ABOUT","Hazırlayanlar\n\n<names>\n\nBrawl Stars ™ <version>\nTelif Hakkı 2016-2026 Supercell Ltd. Tüm hakları saklıdır.\n<extracopyright>\n<terms>"
"TID_IAP_TRANSACTION_PENDING","Lütfen bekle. İşlem beklemede."
"TID_IAP_DELIVERY_PENDING","Lütfen bekle. Ödeme tamamlandı. Teslimat bekleniyor."
"TID_RATE_APP_TITLE","Brawl Stars'a puan ver"
"TID_RATE_APP_MESSAGE","Görüşlerini bizimle paylaşmak için lütfen App Store'da Brawl Stars'a puan ver ya da yorum yap!"
"TID_BUTTON_RATE_APP_LATER","Daha sonra"
"TID_BUTTON_RATE_APP_REVIEW","Yorum yap"
"TID_BUTTON_RATE_APP_NEVER","Asla"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE","Hesap açılamadı"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE","Hesap şu anda açılamıyor. Lütfen daha sonra tekrar dene!"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON","Tekrar dene"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Geçersiz kilit açma kodu!"
"TID_ACCOUNT_LOCKED_TITLE","Hesap Kilitli"
"TID_ACCONT_LOCKED_TEXT","Güvenlik nedeniyle hesabın kilitlendi. Hesabını geri almak için Destek ekibiyle iletişime geç."
"TID_ACCOUNT_LOCKED_TEXT2","Kilit açma kodunu buraya gir:"
"TID_HERO_LIST_CONFIRM_GEM_GATCHA","Onaylamak için dokun"
"TID_NOT_ENOUGH_GEMS_TITLE","Elmas yetersiz"
"TID_NOT_ENOUGH_GEMS_INFO","\n\nElmasın yok. Elmas almak için dükkanı ziyaret edebilirsin!"
"TID_NOT_ENOUGH_GEMS_GO_TO_SHOP","Dükkana git"
"TID_NOT_ENOUGH_CHROMATIC_COINS","Kroma kredisi yeterli değil."
"TID_COIN_DOUBLER_TITLE","DP Katlayıcı Satın Al"
"TID_COIN_DOUBLER_TITLE_WITH_COINS","DP Katlayıcı Ekle"
"TID_COIN_DOUBLER_INFO","Görevlerden alacağın sonraki <c2edd1b><AMOUNT></c> Brawl Pass DP'sini ikiye katlar."
"TID_COIN_DOUBLER_INFO_WITH_COINS","<c2edd1b><AMOUNT></c> DP katlayıcı ekler.\n\nDP katlayıcı, savaşlardan kazandığın Brawl Pass DP'sini ikiye katlar."
"TID_GEM_PRICE_OK","<COST>"
"TID_GEM_PRICE_WARN","<COST>"
"TID_STAT_PER_DYNAMITE","Dinamit başına hasar"
"TID_STARS_1","Dikkat: Bir <ce662f9>elmasın</c> var!"
"TID_STARS_2","Dikkat: Birkaç <ce662f9>elmasın</c> var!"
"TID_STARS_3","Dikkat: Çokça <ce662f9>elmasın</c> var!"
"TID_STARS_4","Dikkat: Bir sürü <ce662f9>elmasın</c> var!"
"TID_GATCHA_BUTTON_TITLE","SAVAŞ KUTUSU"
"TID_1ST_WIN_CHEST_BUTTON_TITLE","BÜYÜK KUTU"
"TID_EVENT_LOCKED","Kilitli"
"TID_SPECIAL_EVENT_TITLE_TOP","ÖZEL ETKİNLİK:"
"TID_SPECIAL_EVENT_STATUS_ACTIVE","Bitmesine:"
"TID_SPECIAL_EVENT_STATUS_FUTURE","başlamasına:"
"TID_EVENT_COMING_UP_INFO","Bu etkinliğin açılmasına <TIME> var."
"TID_ROCKET_BEACH_SKIN","BROCK SAHİLDE"
"TID_CACTUS_PINK_SKIN_OLD","PEMBE SPIKE"
"TID_SHAMAN_PANDA_SKIN","PANDA NITA"
"TID_CROW_WHITE_SKIN","BEYAZ CROW"
"TID_BULL_HAIR_SKIN","VİKİNG BULL"
"TID_TRICKSHOT_GOLD_SKIN_OLD","MADALYALI RICOCHET"
"TID_BARKEEP_GOLD_SKIN","ALTIN BARLEY"
"TID_GUNSLINGER_ROCKSTAR_SKIN","ROCK YILDIZI COLT"
"TID_STAT_HEAL","İyileştirme"
"TID_LUCHADOR_RUDO_SKIN","EL RUDO PRIMO"
"TID_HERO_INFO_PURCHASE_SKIN_LABEL","Satın al"
"TID_EVENTS_NEW_EVENT","Yeni etkinlik!"
"TID_SETTINGS_BRAWLHINTS","Savaş İpuçları"
"TID_COLLECTED_COINS_INFO","<PLANET> savaşından <CURRENT>/<MAX> jeton topladın."
"TID_COLLECTED_COINS_INFO_CAPPED","<PLANET> savaşından alabileceğin tüm jetonları topladın."
"TID_TICKET_COUNTER_INFO","Burada savaşmak için bilet kullanırsın."
"TID_NOT_ENOUGH_TICKETS","Yeterli bilet yok"
"TID_EVENT_LIST_GAME_ROOMS","YENİ TAKIM"
"TID_EVENT_LIST_WELCOME","Brawl Stars'a hoş geldin!"
"TID_COOP","Co-op Savaş"
"TID_COOP_NOT_SUPPORTED","Bu etkinlikte Co-op Savaş yapılamaz"
"TID_PRACTISE_NOT_SUPPORTED","Bu etkinlikte alıştırma yapılamaz."
"TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE","Yeni Facebook girişi"
"TID_BIND_TO_NEW_FACEBOOK_ACCOUNT","Şu anki oyununu bu Facebook hesabı ile ilişkilendirmek istiyor musun?"
"TID_BUTTON_OKAY","Tamam"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_4","Bu simge için <HERO> gerekir."
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_6","Bu simge şu savaşçının kayıtlarından açılır: <HERO>."
"TID_HERO_PORTRAIT_CRAFT_COST","<cffffff><COST></c>"
"TID_HERO_PORTRAIT_CRAFT_COST_NEG","<c999999><COST></c>"
"TID_EVENT_POPUP_CREATE_TEAM_INFO","Arkadaşlarını davet et ve\nbirlikte oyna"
"TID_EVENT_POPUP_HIGHSTAKES_INFO","Bir oyundan daha iyi ödüller almak için daha fazla bilet harcayabilirsin."
"TID_EVENT_POPUP_GMV_LABEL_TEAM","3'e 3"
"TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE","Son Kalan"
"TID_EVENT_POPUP_GMV_LABEL_BOSS_FIGHT","5'e 1"
"TID_EVENT_POPUP_GMV_LABEL_COOP_SURVIVAL","Üç oyuncuya karşı robotlar"
"TID_HIGHSTAKES_REWARDS","\qÖdüller x<COUNT>\q"
"TID_HIGHSTAKES_COST","Biletler: <COUNT>"
"TID_POPUP_ANDROID_EXIT_TITLE","Brawl Stars'tan Çıkış"
"TID_POPUP_ANDROID_EXIT","Brawl Stars'tan çıkmak istediğine emin misin?"
"TID_ROOM_NOT_SUPPORTED","Bu etkinlikte takımlar desteklenmiyor."
"TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE","Satın alınamadı"
"TID_ERROR_POP_UP_PURCHASE_FAILED","Fatura sunucusu yanıt vermiyor. Lütfen daha sonra tekrar dene."
"TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON","Tamam"
"TID_IAP_NOT_AVAILABLE","Lütfen cihazındaki kısıtlama ayarlarından Uygulama İçi Satın Alımları aç."
"TID_NEWS_TITLE","HABERLER"
"TID_STAT_DAMAGE_PER_ARROW","Ok başına hasar"
"TID_STAT_DAMAGE_PER_MINE","Tuzak başına hasar"
"TID_STAT_DAMAGE_PER_SPIKE","Diken Başına Hasar"
"TID_STAT_DAMAGE_PER_DAGGER","Hançer başına hasar"
"TID_FRIENDS_FACEBOOK_CONNECTED","Facebook'a bağlandı"
"TID_FRIENDS_FACEBOOK_NOT_CONNECTED","Facebook arkadaşlarını burada görmek için Facebook'a bağlan!"
"TID_FRIENDS_CONNECT_INFO","Arkadaşlarını burada görmek için sosyal ağlara bağlan!"
"TID_FRIENDS_NO_FRIENDS","Arkadaşın yok"
"TID_FRIENDS_SUGGESTIONS_SEND_REQUEST","ARKADAŞLIK İSTEĞİ GÖNDER"
"TID_FRIENDS_TITLE_1_NO_COUNT","ARKADAŞLAR"
"TID_FRIENDS_TITLE_1","ARKADAŞLAR (<COUNT>)"
"TID_FRIENDS_TITLE_2","ÖNERİLEN ARKADAŞLAR"
"TID_FRIENDS_TITLE_3","ARKADAŞ DAVETLERİ"
"TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_MULT","YAKINLARDA BİRLİKTE <COUNT> SAVAŞ YAPTINIZ"
"TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_ONE","YAKINLARDA BİRLİKTE BİR SAVAŞ YAPTINIZ"
"TID_FRIENDS_NO_ENTRIES_TAB_2","ARKADAŞ ÖNERİSİ YOK"
"TID_FRIENDS_NO_ENTRIES_TAB_3","ARKADAŞ DAVETİ YOK"
"TID_FRIENDS_CANNOT_REMOVE_FRIEND","Sosyal ağlarındaki arkadaşlarını çıkaramazsın."
"TID_FRIEND_REQUEST_ACCEPT","KABUL ET"
"TID_FRIEND_REQUEST_MSG","<NAME> arkadaşın olmak istiyor."
"TID_FRIEND_REQUEST_REJECT","REDDET"
"TID_FRIEND_REQUEST_REASON_0","<EMPTY>"
"TID_FRIEND_REQUEST_REASON_1","KULÜPTEN"
"TID_FRIEND_REQUEST_REASON_2","TAKIMDAN"
"TID_FRIEND_REQUEST_REASON_3","YAKINLARDA BİRLİKTE <AMOUNT> SAVAŞ YAPTINIZ"
"TID_FRIEND_REQUEST_REASON_4","YAKINLARDA BİRLİKTE <AMOUNT> SAVAŞ YAPTINIZ"
"TID_FRIEND_REQUEST_REASON_6","YAKINLARDA BİRLİKTE OYNADINIZ"
"TID_FRIEND_POPOVER_PROFILE","PROFİL"
"TID_FRIEND_POPOVER_REMOVE","KALDIR"
"TID_FRIEND_POPOVER_SPECTATE","İZLE"
"TID_FRIEND_POPOVER_YOU","Bu sensin"
"TID_REMOVE_FRIEND_POPUP_REMOVE","KALDIR"
"TID_REMOVE_FRIEND_POPUP_CANCEL","İPTAL"
"TID_REMOVE_FRIEND_POPUP_TITLE","ARKADAŞI SİLMEYİ ONAYLA"
"TID_REMOVE_FRIEND_POPUP_BODY","<NAME> adlı kişiyi arkadaş listenden çıkarmak istediğine emin misin?"
"TID_UNLOCK_SKIN_CONTENT","\n\n<NAME> KOSTÜMÜNÜ SATIN AL"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE","Bağlantı kesildi"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE","Bu oyuna başka bir cihaz bağlanıyor."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON","Yeniden yükle"
"TID_BAD_CONNECTION","Ağ bağlantısı kötü"
"TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE","Facebook Uyarısı"
"TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT","Bu Facebook hesabı başka bir Brawl Stars oyununa zaten bağlı. Mevcut oyununa bağlayalım mı?"
"TID_KAKAO_BOUND_TO_OTHER_ACCOUNT_TITLE","Kakao Uyarısı"
"TID_KAKAO_BOUND_TO_OTHER_ACCOUNT","Bu Kakao hesabı başka bir Brawl Stars oyununa zaten bağlı. Mevcut oyununa bağlayalım mı?"
"TID_LINE_BOUND_TO_OTHER_ACCOUNT_TITLE","LINE Uyarısı"
"TID_LINE_BOUND_TO_OTHER_ACCOUNT","Bu LINE hesabı başka bir Brawl Stars oyununa zaten bağlı. Mevcut oyununa bağlayalım mı?"
"TID_TEAM_FREE_EVENT_REWARD_CLAIMED","Ücretsiz etkinlik ödülü alındı"
"TID_GEM_BUY_CONFIRMATION","<AMOUNT> elmas alındı!"
"TID_BLOCKED_TEAM_READY","Hazır durumdayken bu gösterilemez."
"TID_TEAM_CANNOT_INVITE_WHILE_READY","Hazır durumdayken davet edilemez."
"TID_SHOTGUN_BANDITA_SKIN","BANDİTA SHELLY"
"TID_SHUTDOWN_STARTED","Oyun 5 dakika içinde kısa bir bakım molasına girecek."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG","Sunucular bakımda. Lütfen birkaç saat sonra tekrar dene."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS","Sunucular bakımda. Lütfen bir iki saat sonra tekrar dene."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF","Sunucular bakımda. Lütfen yaklaşık bir buçuk saat sonra tekrar dene."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR","Sunucular bakımda. Lütfen yaklaşık bir saat sonra tekrar dene."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES","Sunucular bakımda. Lütfen yaklaşık <value> dakika sonra tekrar dene."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON","Sunucular bakımda. Lütfen birkaç dakika sonra tekrar dene."
