TID,KR
TID_EVENT_POPUP_GAME_MODE_6_SOLO_DUO,서바이벌 아레나
TID_GAME_MODE_6_SOLO_DUO_DESC,"혼자 또는 팀원과 함께 쇼다운 아레나에서 끝까지 살아남으세요! 마지막까지 살아남으면 승리합니다.\n\n파워 큐브를 모아 공격력과 최대 HP를 올리세요! 독 구름이 점점 다가오니, 계속 움직이세요!"
TID_GAME_MODE_6_SOLO_DUO_DESC_PRC,혼자 또는 팀원과 함께 쇼다운 아레나에서 끝까지 살아남으세요!\n\n파워 큐브를 모아 공격력과 최대 HP를 올리세요!
TID_GAME_MODE_6_SOLO_ONLY_DESC_PRC,쇼다운 아레나에서 끝까지 살아남으세요!\n\n파워 큐브를 모아 공격력과 최대 HP를 올리세요!
TID_GAME_MODE_20_DESC_PRC,3판 2승제 녹아웃 라운드전에서 상대 팀을 물리치세요! 처치된 브롤러는 해당 라운드가 종료될 때까지 출전할 수 없습니다.\n\n먼저 두 라운드를 이기는 팀이 매치에 승리합니다.
TID_INVITE_PENDING,초대 중
TID_JOIN_REQUEST_PENDING,참가 중
TID_GOAL_MATCH_OVER,<name> 골!\n경기 종료!
TID_GOLDRUSH_XMAS_1,눈사람 요새
TID_GOLDRUSH_XMAS_2,겨울 광산
TID_GOLDRUSH_XMAS_3,눈 싸움
TID_GOLDRUSH_XMAS_4,얼음 바위 언덕
TID_GOLDRUSH_XMAS_5,눈 덮인 갱도
TID_GOLDRUSH_XMAS_6,선물 포장
TID_GOLDRUSH_XMAS_7,눈 단장
TID_GOLDRUSH_XMAS_8,얼음 호수
TID_GOLDRUSH_XMAS_9,서리 수정 동굴
TID_GOLDRUSH_XMAS_10,보물 사냥
TID_RAID_BOSS_DIFFICULTY_CAP,팀원 구성에 따라 난이도가 조절되었습니다. 난이도가 낮아진 동안에는 완료해도 퀘스트 진행 상황에 반영되지 않습니다.
TID_RAID_BOSS_DIFFICULTY,챌린지:
TID_BOSS_3,울근불근
TID_BOSS_4,팀 데이
TID_BOSS_5,엎어진 테이블
TID_BOSS_6,사냥하기 좋은 날
TID_COOP_3,금고 보안관
TID_COOP_4,오지
TID_COOP_5,파괴된 체계
TID_COOP_6,금고는 세이프
TID_RAID_2,머신 존
TID_RAID_3,고철 조각
TID_BUTTON_INVITE_PLAYER,초대
TID_BUTTON_JOIN_TEAM,참가 요청
TID_BUTTON_TEAM_FULL,정원 충족
TID_DECIMAL_MARK,.
TID_RARITY_HEADER_0,트로피 진척도 보상
TID_RARITY_HEADER_1,희귀
TID_RARITY_HEADER_2,초희귀
TID_RARITY_HEADER_3,영웅
TID_RARITY_HEADER_4,신화
TID_RARITY_HEADER_5,전설
TID_RARITY_HEADER_6,크로마틱
TID_SETTINGS_KAKAO,카카오 친구
TID_HERO_INFO_LEVEL_WITH_NUMBER,POWER <NUMBER>
TID_HERO_INFO_LEVEL_WITH_NUMBER_LONG,파워 레벨 <NUMBER>
TID_IN_YOUR_TEAM,내 팀
TID_TEAM_REQEST_JOIN_FAIL_TEAM_FULL,참가 요청 실패: 팀이 가득 찼습니다.
TID_EVENT_ENDS_IN,이벤트 종료까지: <TIME>
TID_EVENT_LOCKED_CAN_CLAIM_WARNING,트로피 진척도에서 이벤트를 잠금 해제하세요!
TID_EVENT_LOCKED_CAN_CLAIM,축하합니다! 이제 트로피 진척도에서 이벤트를 잠금 해제할 수 있습니다!
TID_BATTLE_ROYALE_3D,죽음의 계곡
TID_BATTLE_ROYALE_7D,바위 계곡
TID_WANTED_4D,독버섯 지대
TID_GOLDRUSH_3D,버섯 동굴
TID_WEEKEND_OFFER,주말 특별 상품
TID_EXCLUSIVE_OFFER,한정판 상품
TID_EPIC_OFFER,영웅 특별 상품
TID_MEGA_OFFER,메가 특별 상품
TID_FEATURED_OFFER,추천 특별 상품
TID_TAIPEI_OFFER,타이베이 게임쇼 특별 상품
TID_RAID_BOSS_ENRAGE_4,<c99ffffff>천하무적 보스!</c>
TID_RAID_BOSS_ENRAGE_WARNING_1,<cffbb22bb>화난</c> 보스가 되기까지:
TID_RAID_BOSS_ENRAGE_WARNING_2,<cffbb2222>분노한</c> 보스가 되기까지:
TID_RAID_BOSS_ENRAGE_WARNING_3,<cffbbbb22>격분한</c> 보스가 되기까지:
TID_RAID_BOSS_ENRAGE_WARNING_4,<cffffffff>천하무적</c> 보스가 되기까지:
TID_HERO_INFO_LOCKED_INFO_SHORT,브롤 상자를\n열어 잠금 해제
TID_ROBO_WARS_1,스웨덴 공장
TID_ROBO_WARS_INTRO_TEXT,적 기지를 파괴하세요!
TID_ROBO_WARS_SCRAP,볼트:
TID_ROBO_WARS_OWN_ROBO_SPAWNED_0,<c998888ff>내 팀</c>이 시즈 로봇을 조립했습니다!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_0,<c99dd3333>적 팀</c>이 시즈 로봇을 조립했습니다!
TID_ROBO_WARS_OWN_ROBO_SPAWNED_1,<c998888ff>내 팀</c>이 <c99bb22bb>화난 로보</c>를 만들었습니다!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_1,<c99dd3333>적 팀</c>이 <c99bb22bb>화난 로보</c>를 만들었습니다!
TID_ROBO_WARS_OWN_ROBO_SPAWNED_2,<c998888ff>내 팀</c>이 <c99bb2222>분노한 로보</c>를 만들었습니다!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_2,<c99dd3333>적 팀</c>이 <c99bb2222>분노한 로보</c>를 만들었습니다!
TID_ROBO_WARS_OWN_ROBO_SPAWNED_3,<c998888ff>내 팀</c>이 <c99bbbb22>격분한 로보</c>를 만들었습니다!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED_3,<c99dd3333>적 팀</c>이 <c99bbbb22>격분한 로보</c>를 만들었습니다!
TID_ROBO_WARS_SCRAP_AMOUNT,<v1>/<v2>
TID_BRAWL_BOX_INFO,전투에서 <c33a5d7>토큰 <COUNT>개</c>를 모아 이 브롤 상자를 여세요!
TID_STAR_BOX_INFO,다양한 이벤트에서 첫 승을 거둬 <cff8E1b>스타 토큰 <COUNT>개</c>를 모아 이 대형 상자를 여세요!
TID_ALLIANCE_LOCATION,클럽 지역
TID_LOCATION_TITLE,지역 선택
TID_SETTINGS_LOCATION,지역
TID_REGION_INT,전 세계
TID_POPUP_CHANGE_LOCATION_TITLE,지역 변경
TID_POPUP_CHANGE_LOCATION,정말로 지역을 변경할까요? 지역은 하루에 한 번만 변경할 수 있습니다.
TID_CHANGE_LOCATION_RESULT_0,지역을 변경했습니다: <COUNTRY>
TID_CHANGE_LOCATION_RESULT_1,지금은 지역를 변경할 수 없습니다. <TIME> 후에 다시 시도해주세요.
TID_SKIN_INFO_CAMPAIGN_2_AVAILABLE,설날은 스킨과 함께!
TID_SKIN_INFO_CAMPAIGN_2_NOT_AVAILABLE,설날 브롤 스킨
TID_SKIN_INFO_CAMPAIGN_5_AVAILABLE,설날은 스킨과 함께!
TID_SKIN_INFO_CAMPAIGN_5_NOT_AVAILABLE,설날 브롤 스킨
TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2019,2019 설날 브롤 스킨
TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2020,2020 설날 브롤 스킨
TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2021,2021 설날 브롤 스킨
TID_CACTUS_PINK_SKIN,벚꽃 스파이크
TID_CACTUS_PINK_SKIN_SHOP,벚꽃 스파이크
TID_TRICKSHOT_DUDE,리코
TID_TRICKSHOT_GOLD_SKIN,벼락부자 리코
TID_TRICKSHOT_GOLD_SKIN_SHOP,벼락부자 리코
TID_SKIN_POPCORN_RICO,팝콘 리코
TID_SKIN_POPCORN_RICO_SHOP,팝콘 리코
TID_SKIN_FOOTBULL,터치다운 불
TID_SKIN_FOOTBULL_SHOP,터치다운 불
TID_SKIN_DUMPLING_DARRYL,만두 대릴
TID_SKIN_DUMPLING_DARRYL_SHOP,만두 대릴
TID_SKIN_LUNAR_BROCK,사자춤 브록
TID_SKIN_LUNAR_BROCK_SHOP,사자춤 브록
TID_SKIN_LUNAR_COLT,암행어사 콜트
TID_SKIN_LUNAR_COLT_SHOP,암행어사 콜트
TID_SKIN_VALENTINE_POCO,세레나데 포코
TID_SKIN_VALENTINE_POCO_SHOP,세레나데 포코
TID_BANKHEIST_9,눈 깜짝할 사이
TID_BANKHEIST_10,롤링 럼블
TID_BANKHEIST_11,트위스트 앤 슛
TID_BANKHEIST_12,머나먼 다리
TID_BANKHEIST_13,코너 케이스
TID_WANTED_10,풀 파티
TID_WANTED_11,불펜
TID_WANTED_12,탁월한 선택
TID_WANTED_13,레이어 케이크
TID_WANTED_14,햇빛은 쨍쨍
TID_NOT_ENOUGH_LEGENDARY_TROPHIES,스타 포인트가 부족합니다!
TID_NOT_ENOUGH_CLUB_COINS,클럽 코인이 부족합니다!
TID_NOT_ENOUGH_GOLD_TITLE,코인이 부족합니다!
TID_NOT_ENOUGH_GOLD_TEXT,부족한 코인 <NUM>개를 구매할까요?
TID_NOT_ENOUGH_GOLD_TEXT_ONE,부족한 코인을 구매할까요?
TID_TEAM_INVITATION_POPUP_MUTE_ALL,1시간 동안 모든 초대 차단
TID_TEAM_INVITATION_SETTING_MUTE,모든 팀 초대 차단
TID_BUTTON_TEAM_DND,방해 금지
TID_SHOP_VALENTINE_OFFER,밸런타인데이 특별 상품
TID_SHOP_BRAWLER_BUNDLE,브롤러 번들
TID_SHOP_SEASONAL_SKIN_OFFER,시즌 스킨 특별 상품
TID_SHOP_WELCOME_OFFER,웰컴 특별 상품
TID_SHOP_BRAWLER_PACK,브롤러 팩
TID_SHOP_STAR_POWER_OFFER,스타 파워 특별 상품
TID_SHOP_UPGRADE_BUNDLE,업그레이드 번들
TID_SHOP_NEW_BRAWLER_OFFER,신규 브롤러 특별 상품
TID_SHOP_NEW_SKIN_RELEASE,신규 스킨 출시
TID_SHOP_NEW_SKIN_OFFER,신규 스킨 특별 상품
TID_HEROES_COMING_SOON,출시 예정 브롤러!
TID_RARITY_NAME_0_UPPER,트로피 진척도 보상
TID_RARITY_NAME_1_UPPER,희귀
TID_RARITY_NAME_2_UPPER,초희귀
TID_RARITY_NAME_3_UPPER,영웅
TID_RARITY_NAME_4_UPPER,신화
TID_RARITY_NAME_5_UPPER,전설
TID_RARITY_NAME_6_UPPER,크로마틱
TID_STARTER_PACK_5,50레벨 팩
TID_STARTER_PACK_6,75레벨 팩
TID_STARTER_PACK_7,100레벨 팩
TID_STARTER_PACK_8,125레벨 팩
TID_WHIRLWIND,칼
TID_WHIRLWIND_SHORT_DESC,대미지 딜러
TID_WHIRLWIND_DESC,곡괭이를 부메랑처럼 던집니다. 특수 공격을 사용하면 카트가 빠르게 회전하며 주변에 있는 상대를 공격합니다.
TID_WHIRLWIND_WEAPON,곡괭이
TID_WHIRLWIND_ULTI,회전 카트
TID_WHIRLWIND_WEAPON_DESC,곡괭이를 부메랑처럼 던집니다. 되돌아온 곡괭이를 잡은 후에 다시 던질 수 있습니다.
TID_WHIRLWIND_ULTI_DESC,"몇 초간 엄청난 속도로 회전하며, 가까이 있는 상대에게 피해를 줍니다."
TID_STAT_DAMAGE_EACH_WAY,타격당 피해량
TID_STAT_DAMAGE_PER_SWING,회전당 피해량
TID_HINT_43,칼의 곡괭이가 장애물에 맞으면 튕겨 나와 되돌아오며 좀 더 빠르게 곡괭이를 다시 던질 수 있습니다.
TID_SPEC_ABI_PROJECTILE_SPEED,스피디 스로우
TID_SPEC_ABI_PROJECTILE_SPEED_DESC,"곡괭이를 <c00cc00><VALUE1>%</c> 더 빠르게 던져, 곡괭이가 날아가고 되돌아오는 속도가 빨라집니다."
TID_SPEC_ABI_SUPERSPEED,파워 스핀
TID_SPEC_ABI_SUPERSPEED_DESC,특수 공격을 사용하는 동안 카트의 회전 속도가 더욱 빨라집니다.
TID_HERO_SORTING_TROPHIES,최소 트로피순
TID_HERO_SORTING_TROPHIES_DESC,최대 트로피순
TID_HERO_SORTING_RARITY,희귀도순
TID_HERO_SORTING_RARITY_DESC,희귀도 내림차순
TID_HERO_SORTING_POWER_DESC,파워 레벨
TID_HERO_SORTING_RANKUP,다음 랭크에 가까운 순
TID_MUTE_INVITES_LABEL,방해 금지
TID_GEM_BALANCE_TITLE,보석 수
TID_JP_BUTTON,보석 수
TID_GEM_BALANCE,현재 보석 수: <total>\n\n무료 보석: <free>\n\n구매 보석: <paid>
TID_IAP_INFO_TEXT,"청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능"
TID_SETTINGS_LINE,LINE
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE,"해당 계정에서 진행된 거래가 <DATE>에 환불되었거나 허위인 것으로 확인되었습니다. 환불을 요청한 경우, 주문 시 사용했던 결제 수단을 통해 환불 처리됩니다. 환불을 요청한 거래 금액에 해당하는 보석 <X>개가 차감되었습니다. 이로 인해 보석이 마이너스로 표시될 수 있습니다. 마이너스로 표시된 수량은 추가로 구매하거나 게임 내에서 해당 재화를 획득하여 복구할 수 있습니다."
TID_HERO_DISABLED_CURRENTLY,해당 브롤러는 일시적으로 이용 불가능합니다.
TID_SKIN_FARMER_POCO,농부 포코
TID_SKIN_FARMER_POCO_SHOP,농부 포코
TID_UNDERTAKER_NIGHTWITCH_SKIN,암흑 마녀 모티스
TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP,암흑 마녀 모티스
TID_FRIEND_ADDED,<FRIEND> 님이 친구가 되었습니다!
TID_IAP_REFRESHER_BUNDLE,리프레시 번들
TID_IAP_REFRESHER_PACK,리프레시 팩
TID_IAP_WOMENS_DAY_1,걸 파워
TID_IAP_WOMENS_DAY_2,세계 여성의 날 기념
TID_IAP_LIMITED_TIME_DISCOUNT,기간 한정 할인
TID_IAP_GOLDENWEEK_PACK,골든 위크 팩
TID_IAP_GOLDENWEEK_PACK_DESC,골든 위크 축하 기념
TID_LIMITED_AVAILABILITY,기간 한정 특별 상품
TID_ROBO_WARS_2,로봇 실험실
TID_ROBO_WARS_3,로봇 공장
TID_ROBO_WARS_4,조립 라인
TID_ROBO_WARS_5,베이스 버스터
TID_ROBO_WARS_6,로봇시대
TID_ROBO_WARS_7,볼트의 정석
TID_ROBO_WARS_8,조립의 조건
TID_ROBO_WARS_9,포위된 공장
TID_GOLDRUSH_12,다이아몬드 더스트
TID_GOLDRUSH_13,포 스퀘어
TID_GOLDRUSH_14,유리한 위치
TID_GOLDRUSH_15,건너뛰기
TID_GOLDRUSH_16,카운트다운
TID_GOLDRUSH_17,급속 탈출
TID_GOLDRUSH_18,딥 링크
TID_BATTLE_ROYALE_13,유령 출몰
TID_BATTLE_ROYALE_14,마당
TID_BATTLE_ROYALE_15,해시계
TID_BATTLE_ROYALE_16,슈퍼스타
TID_BATTLE_ROYALE_17,어두운 통로
TID_BATTLE_ROYALE_18,시계태엽
TID_BALL_8,뱅크슛
TID_BALL_9,플레이박스
TID_BALL_10,페널티 킥
TID_BALL_11,교체
TID_BANKHEIST_14,로얄 아레나
TID_HERO_DISABLED_CURRENTLY_PRINT,해당 브롤러는 일시적으로 이용 불가능합니다. 나중에 다시 시도해 주세요!
TID_NEXT_ROBO_IN,다음 시즈 로봇까지:
TID_ROBO_WARS_OWN_ROBO_SPAWNED,<num>레벨 <c998888ff>시즈 로봇</c>과 함께 <c998888ff>공격하세요</c>!
TID_ROBO_WARS_ENEMY_ROBO_SPAWNED,<num>레벨 <c99dd3333>시즈 로봇</c>에 맞서 <c99dd3333>방어하세요</c>!
TID_HERO_DISABLED_CURRENTLY_START_GAME,해당 브롤러는 일시적으로 이용 불가능합니다. 다른 브롤러를 사용해 주세요!
TID_HERO_COMING_SOON,브롤러 곧 공개!
TID_NO_ROBOS_SPAWNED,무승부! 시즈 로봇이 조립되지 않았습니다!
TID_LAST_ROBO_IN,마지막 시즈 로봇까지:
TID_ROBO_LEVEL,시즈 로봇 레벨: <num>
TID_BATTLE_ROYALE_19,불규칙 블록
TID_BATTLE_ROYALE_20,별똥별
TID_BATTLE_ROYALE_21,태풍의 눈
TID_BATTLE_ROYALE_22,침수된 평원
TID_BATTLE_ROYALE_23,쇄도하는 강
TID_BATTLE_ROYALE_24,배신
TID_BATTLE_ROYALE_25,성곽 정원
TID_BATTLE_ROYALE_26,올드 베일리
TID_BATTLE_ROYALE_27,그을린 눈
TID_BALL_12,해피 풋워크
TID_BALL_13,공방 태세
TID_BALL_14,슬롯머신
TID_BALL_15,핀볼 드림
TID_BALL_16,배럴 저장소
TID_GOLDRUSH_19,점핑 트랩
TID_GOLDRUSH_20,장군 멍군
TID_GOLDRUSH_21,지름길
TID_GOLDRUSH_22,예리한 각도
TID_GOLDRUSH_23,점프 맛집
TID_GOLDRUSH_24,분열
TID_GOLDRUSH_25,이중 곡선
TID_GOLDRUSH_26,음양
TID_ROBO_HEALTH,시즈 로봇:
TID_TEAMING_WARNING,<c99dd3333>적을 공격하세요!</c> 그렇지 않으면 <c99dd3333>유성우가 떨어집니다</c>!!!
TID_FREE_NAME_CHANGE_INTRO_TEXT,무료 이름 변경은 1번만 가능합니다. 이후엔 보석을 사용해야 하니 변경할 이름은 현명히 선택하세요.
TID_PAID_NAME_CHANGE_INTRO_TEXT,보석으로 이름을 변경할까요?\n부적절한 이름을 입력하면 보석 환불 없이 임의로 이름이 변경될 수 있습니다.
TID_NAME_CHANGE_INTRO_TITLE,이름 변경
TID_NAME_CHANGE_ON_COOLDOWN,다음 이름 변경까지:\n<time>
TID_NAME_CHANGE_FREE,무료 변경
TID_PLAYER_YOU,나
TID_NEWS_TAB_NEWS,뉴스
TID_NEWS_TAB_VIDEOS,동영상
TID_NEWS_TAB_ESPORTS,e스포츠
TID_NEWS_TAB_COMMUNITY,커뮤니티
TID_NEWS_TAB_VIDEOS_LIVESTREAM_CHINA,视频/直播
TID_NEWS_NOTIFICATION_LIVE,LIVE
TID_EPORTS_INFO_NEW_TOURNAMENT,신규 토너먼트 잠금 해제!
TID_VS_TRAINING,훈련장
TID_TRAINING_DPS,초당 피해량:
TID_SHOP_SHORTCUT_1,특별 상품
TID_SHOP_SHORTCUT_2,오늘의 선물
TID_SHOP_SHORTCUT_NOT_USED,상자
TID_SHOP_SHORTCUT_3,스킨
TID_SHOP_SHORTCUT_4,스타 상점
TID_SHOP_SHORTCUT_5,자원
TID_SHOP_NOTIFICATION_NEW,NEW!
TID_SHOP_NOTIFICATION_FREE,무료!
TID_SKIN_INFO_INCLUDES,스킨 내용:\n
TID_SKIN_INFO_NORMAL,- 브롤러 전용 외형
TID_SKIN_INFO_NORMAL_PET,- 브롤러 전용 외형\n- 펫 전용 외형
TID_SKIN_INFO_NORMAL_TURRET,- 브롤러 전용 외형\n- 터렛 전용 외형
TID_SKIN_INFO_FX,- 브롤러 전용 외형\n- 전용 이펙트
TID_SKIN_INFO_ANIM_PET,- 브롤러 전용 외형\n- 펫 전용 외형\n- 전용 애니메이션
TID_SKIN_INFO_ANIM_TURRET,- 브롤러 전용 외형\n- 터렛 전용 외형\n- 전용 애니메이션
TID_SKIN_INFO_ANIM_FX,- 브롤러 전용 외형\n- 전용 이펙트\n- 전용 애니메이션
TID_SKIN_INFO_ANIM_FX_PET,- 브롤러 전용 외형\n- 펫 전용 외형\n- 전용 이펙트\n- 전용 애니메이션
TID_SKIN_INFO_ANIM_FX_SOUND_PET,- 브롤러 전용 외형\n- 펫 전용 외형\n- 전용 이펙트\n- 전용 애니메이션\n- 전용 사운드 효과
TID_SKIN_INFO_ANIM_FX_TURRET,- 브롤러 전용 외형\n- 터렛 전용 외형\n- 전용 이펙트\n- 전용 애니메이션
TID_SKIN_INFO_ANIM_FX_SOUND_TURRET,- 브롤러 전용 외형\n- 터렛 전용 외형\n- 전용 이펙트\n- 전용 애니메이션\n- 전용 사운드 효과
TID_SKIN_INFO_ANIM,- 브롤러 전용 외형\n- 전용 애니메이션
TID_SKIN_INFO_ANIM_SOUND_FX,- 브롤러 전용 외형\n- 전용 이펙트\n- 전용 애니메이션\n- 전용 사운드 효과
TID_SKIN_INFO_FX_SOUND,- 브롤러 전용 외형\n- 전용 이펙트\n- 전용 사운드 효과
TID_SKIN_INFO_SOUND,- 브롤러 전용 외형\n- 전용 사운드 효과
TID_GOLDRUSH_27,카트 열차
TID_BUTTON_SETTINGS,설정
TID_BUTTON_BATTLELOG,전투 기록
TID_BUTTON_LEADERBOARD,순위표
TID_BUTTON_BRAWLTV,브롤 TV
TID_BUTTON_NEWS,뉴스
TID_BRAWL_TV_LIVE,LIVE
TID_BUTTON_TEST_HERO,체험
TID_CONTENT_UPDATE,콘텐츠 다운로드 중...
TID_BATTLE_ROYALE_28,플라잉 판타지
TID_SHAMAN_SHIBA_SKIN,시바견 니타
TID_PENNY_BUNNY_SKIN,토끼 페니
TID_SHAMAN_SHIBA_SKIN_SHOP,시바견 니타
TID_PENNY_BUNNY_SKIN_SHOP,토끼 페니
TID_PURCHASE_POPUP_CONFIRM_OFFER,특별 상품 구매
TID_PURCHASE_POPUP_CONFIRM_SKIN,스킨 구매
TID_PURCHASE_POPUP_CONFIRM_HERO,브롤러 구매
TID_BUTTON_NAME_COLOR,이름 색상
TID_SELECT_COLOR_TITLE,색상 선택
TID_PROFILE_COLOR,색상
TID_POPUP_BRAWLTV_TITLE,브롤 TV
TID_POPUP_BRAWLTV_TEXT,전 세계 톱 브롤러들의 플레이를 관전하세요!
TID_POPUP_BRAWLTV_BUTTON,보러 가기
TID_GOLDRUSH_28,칙칙폭폭
TID_GOLDRUSH_29,전원 승차
TID_GOLDRUSH_30,폭주 기관차
TID_GOLDRUSH_31,광기의 광산 열차
TID_GOLDRUSH_32,고통의 열차
TID_GOLDRUSH_33,뱀의 가게
TID_GOLDRUSH_34,컨베이어벨트
TID_ROBO_WARS_10,스트레이트 샷
TID_ROBO_WARS_11,스파링 매치
TID_ROBO_WARS_12,로보 하이웨이
TID_ROBO_WARS_13,고물 공원
TID_ROBO_WARS_14,위험 지역
TID_BATTLE_ROYALE_29,골드 러시
TID_BATTLE_ROYALE_30,해변의 브롤
TID_BATTLE_ROYALE_31,로얄 런웨이
TID_BATTLE_ROYALE_32,무지개 섬
TID_BATTLE_ROYALE_33,불스아이
TID_BALL_17,센터 스테이지
TID_BALL_18,난리난 필드
TID_BALL_19,슈어 샷
TID_BALL_20,선데이 쇼다운
TID_BALL_21,커브 볼
TID_SUPPORT_CREATOR_BUTTON,크리에이터 후원
TID_SUPPORT_CREATOR_LABEL,후원 대상: <NAME>
TID_SUPPORT_CREATOR_POPUP_TITLE,콘텐츠 크리에이터 부스트
TID_SUPPORT_CREATOR_POPUP_TEXT,가장 좋아하는 크리에이터를 후원하세요. 보석을 사용하면 해당 크리에이터의 후원을 도울 수 있습니다.
TID_SUPPORT_CREATOR_POPUP_ENTER_CODE,크리에이터 코드 입력:
TID_SUPPORT_CREATOR_POPUP_INPUT_CODE,크리에이터 코드 입력:
TID_SUPPORT_CREATOR_POPUP_BUTTON,입력
TID_SUPPORT_CREATOR_POPUP_BUTTON_MORE,추가 정보
TID_SUPPORT_CREATOR_POPUP_INVALID_NAME,크리에이터 코드가 올바르지 않습니다!
TID_SUPPORT_SUCCESS_FLOATER,<NAME> 님을 후원합니다!
TID_SUPPORT_LINK_FAIL_FLOATER,올바르지 않거나 만료된 크리에이터 후원 링크입니다!
TID_SUPPORT_CREATOR_SHOP_TITLE,콘텐츠 크리에이터 부스트
TID_SUPPORT_CREATOR_BTN_SUPPORT,코드 입력
TID_SUPPORT_CREATOR_BTN_CHANGE,변경
TID_SUPPORT_CREATOR_BTN_STOP,중단
TID_SUPPORT_CREATOR_INFO,인앱 구매 시 크리에이터 코드를 입력해 콘텐츠 크리에이터를 후원해주세요!
TID_SUPPORT_CREATOR_SUPPORTING,현재 후원 중:
TID_SUPPORT_CREATOR_NOT_SUPPORTING,후원하고 있는 콘텐츠 크리에이터가 없습니다.
TID_STOP_SUPPORTING_CREATOR_TITLE,콘텐츠 크리에이터 후원 중단
TID_STOP_SUPPORTING_CREATOR_DESC,<NAME> 님 후원을 중단하시겠습니까?
TID_STAT_DAMAGE_PER_PROXIMITY_MINE,지뢰당 피해량
TID_OFFER_POPUP_CONFIRMATION_POPUP,정말로 <offer_name> 상품을 구매할까요?
TID_OFFER_POPUP_CONFIRMATION_POPUP_NO_NAME,정말 해당 특별 상품을 구매할까요?
TID_BRAWLTV_FAILED,브롤 TV를 불러올 수 없습니다! 다시 시도해 주세요.
TID_LINE_ACCOUNT_BIND_INFO_TITLE,LINE 연동
TID_LINE_ACCOUNT_BIND_INFO,해당 계정을 LINE과 연동하면 LINE 친구의 브롤스타즈 계정을 친구 목록에서 확인할 수 있습니다. LINE 친구 또한 브롤러님의 브롤스타즈 계정과 온라인 상태를 확인할 수 있으며 전투에 초대할 수 있게 됩니다. 지금 연동할까요?
TID_LINE_LOG_OUT_TITLE,LINE 연동 해제
TID_LINE_LOG_OUT_DESC,LINE 계정과의 연동을 해제할까요?
TID_LINE_CONNECT,LINE 연동
TID_LINE_CONNECT_UP,LINE 연동
TID_LINE_CONNECTED,LINE 연동됨
TID_LINE_CONNECTED_UP,LINE 연동됨
TID_SKIN_INFO_FX_TURRET,- 브롤러 전용 외형\n- 터렛 전용 외형\n- 전용 이펙트
TID_SPEC_ABI_SPED_FULL_AMMO,홈런
TID_SPEC_ABI_SPED_FULL_AMMO_DESC,홈런 게이지가 가득 차면 이동 속도가 <c00cc00><VALUE1>%</c> 증가합니다.
TID_BASEBALL,비비
TID_BASEBALL_SHORT_DESC,탱커
TID_BASEBALL_DESC,플레이 볼! 비비의 홈런 게이지가 가득 차면 풀스윙으로 적을 날려버립니다. 특수 공격으로 통통 튀는 풍선껌을 날려 피해를 줍니다.
TID_BASEBALL_WEAPON,삼진 아웃
TID_BASEBALL_ULTI,스핏볼
TID_BASEBALL_WEAPON_DESC,"비비가 야구 방망이를 휘두릅니다. 3번의 공격이 모두 차면, 홈런 게이지가 충전됩니다. 완전히 충전된 상태에서 공격하면, 적을 날려버릴 수 있습니다!"
TID_BASEBALL_ULTI_DESC,"비비가 풍선껌을 방망이로 쳐냅니다. 날아간 풍선껌은 벽에 튕기고 적을 관통하며, 같은 대상에게도 여러 번 피해를 줄 수 있습니다!"
TID_BARLEY_MS_SKIN,미스 파이 발리
TID_BARLEY_MS_SKIN_SHOP,미스 파이 발리
TID_BROCK_HOTROD_SKIN,핫휠 브록
TID_BROCK_HOTROD_SKIN_SHOP,핫휠 브록
TID_CARL_RR_SKIN,분노의 질주 칼
TID_CARL_RR_SKIN_SHOP,분노의 질주 칼
TID_BARLEY_MAPLE_SKIN,메이플 발리
TID_BARLEY_MAPLE_SKIN_SHOP,메이플 발리
TID_BANKHEIST_14B,피트 스톱
TID_BANKHEIST_15,사이드 스토리
TID_IAP_RETROPOLIS_PACK,레트로폴리스 보석 팩
TID_IAP_RETROCOIN_PACK_1,코인 팩 (1/3)
TID_IAP_RETROCOIN_PACK_2,코인 팩 (2/3)
TID_IAP_RETROCOIN_PACK_3,코인 팩 (3/3)
TID_GOLDRUSH_21C,주식 붕괴
TID_SPEC_SPOT_FROM_AIR,발견
TID_SPEC_SUPER_RANGE,산탄 탄막
TID_SPEC_SUPER_RANGE_DESC,"특수 공격 사거리와 공격 속도가 <c00cc00><VALUE1>%</c> 증가하며, 산탄이 퍼지는 범위가 좁아집니다."
TID_SPEC_ABI_PET_ATTACK_SPEED,하이퍼 베어
TID_SPEC_ABI_PET_ATTACK_SPEED_DESC,곰의 공격 속도가 더 빨라집니다. 앞발 휘두르기 간의 간격이 <c00cc00><VALUE1>%</c> 감소합니다.
TID_SPEC_ABI_LOW_HEALTH_SHIELD,터프가이
